RRR
RRM
RRL
RMR
RMM
RML
RLR
RLM
RLL
MRR
MRM
MRL
MMR
MMM
MML
MLR
MLM
MLL
LRR
LRM
LRL
LMR
LMM
LML
LLR
LLM
LLL
PPP
PPH
PPC
PHH
PHC
PCC
HHH
HHC
HCC
CCC
RrR
RrM
RrL
RmM
RmL
RlL
MmM
MmL
MlL
LlL
PRR
PRM
PRL
PMM
PML
PLL
HRR
HRM
HRL
HMM
HML
HLL
CRR
CRM
CRL
CMM
CML
CLL
RRP
RRH
RRC
RMP
RMH
RMC
RLP
RLH
RLC
MMP
MMH
MMC
MLP
MLH
MLC
LLP
LLH
LLC
RPR
RPM
RPL
RHR
RHM
RHL
RCR
RCM
RCL
MPR
MPM
MPL
MHR
MHM
MHL
MCR
MCM
MCL
LPR
LPM
LPL
LHR
LHM
LHL
LCR
LCM
LCL
PPR
PPM
PPL
PHR
PHM
PHL
PCR
PCM
PCL
HPR
HPM
HPL
HHR
HHM
HHL
HCR
HCM
HCL
CPR
CPM
CPL
CHR
CHM
CHL
CCR
CCM
CCL
