RRR
RRM
RMR
RMM
MRR
MRM
MMR
MMM
PPP
PPH
PPC
PHH
PHC
PCC
HHH
HHC
HCC
CCC
RrR
RrM
RmM
MmM
PRR
PRM
PMM
HRR
HRM
HMM
CRR
CRM
CMM
RRP
RRH
RRC
RMP
RMH
RMC
MMP
MMH
MMC
RPR
RPM
RHR
RHM
RCR
RCM
MPR
MPM
MHR
MHM
MCR
MCM
PPR
PPM
PHR
PHM
PCR
PCM
HPR
HPM
HHR
HHM
HCR
HCM
CPR
CPM
CHR
CHM
CCR
CCM
