hsa-let-7a-5p
hsa-let-7b-5p
hsa-let-7c-5p
hsa-let-7d-5p
hsa-let-7e-5p
hsa-let-7g-5p
hsa-miR-1-3p
hsa-miR-100-5p
hsa-miR-101-3p
hsa-miR-106a-5p
hsa-miR-106b
hsa-miR-107
hsa-miR-10b
hsa-miR-122-5p
hsa-miR-124
hsa-miR-125a-5p
hsa-miR-125b
hsa-miR-126-3p
hsa-miR-127
hsa-miR-128a
hsa-miR-128b
hsa-miR-129-5p
hsa-miR-130b
hsa-miR-132-3p
hsa-miR-133a
hsa-miR-133b
hsa-miR-135a-5p
hsa-miR-137
hsa-miR-140
hsa-miR-141-3p
hsa-miR-143-3p
hsa-miR-145
hsa-miR-146a
hsa-miR-146b
hsa-miR-148a-3p
hsa-miR-148b
hsa-miR-152
hsa-miR-153-3p
hsa-miR-155-5p
hsa-miR-15a
hsa-miR-15b
hsa-miR-16-5p
hsa-miR-17-5p
hsa-miR-18a-5p
hsa-miR-181a
hsa-miR-181b
hsa-miR-181c-5p
hsa-miR-182-5p
hsa-miR-184
hsa-miR-24-1*
hsa-miR-18a*
hsa-miR-193a-3p
hsa-miR-193b-3p
hsa-miR-195
hsa-miR-196a-5p
hsa-miR-197
hsa-miR-199a*
hsa-miR-199b-5p
hsa-miR-19a
hsa-miR-19b-3p
hsa-miR-200a-3p
hsa-miR-200b
hsa-miR-200c-3p
hsa-miR-203
hsa-miR-204
hsa-miR-205-5p
hsa-miR-206
hsa-miR-208a
hsa-miR-20
hsa-miR-20b
hsa-miR-21
hsa-miR-210
hsa-miR-214-3p
hsa-miR-216
hsa-miR-217-5p
hsa-miR-218-5p
hsa-miR-221
hsa-miR-222-3p
hsa-miR-223
hsa-miR-24
hsa-miR-25
hsa-miR-26a
hsa-miR-27a-3p
hsa-miR-296
hsa-miR-298
hsa-miR-29a
hsa-miR-29b
hsa-miR-29c-3p
hsa-miR-302d
hsa-miR-31-5p
hsa-miR-32
hsa-miR-320a
hsa-miR-324-5p
hsa-miR-326
hsa-miR-328
hsa-miR-330
hsa-miR-335
hsa-miR-346
hsa-miR-34a-5p
hsa-miR-34b
hsa-miR-34c
hsa-miR-370-3p
hsa-miR-372
hsa-miR-373
hsa-miR-375
hsa-miR-424
hsa-miR-429
hsa-miR-433
hsa-miR-451
hsa-miR-485-3p
hsa-miR-504
hsa-miR-509-3p
hsa-miR-510-5p
hsa-miR-519c-3p
hsa-miR-520c
hsa-miR-520h
hsa-miR-521
hsa-miR-532
hsa-miR-548d-3p
hsa-miR-559
hsa-miR-562
hsa-miR-659
hsa-miR-661
hsa-miR-7
hsa-miR-765
hsa-miR-9-5p
hsa-miR-93
hsa-miR-96
hsa-miR-98
hsa-let-7a*
hsa-let-7g-3p
hsa-miR-101-5p
hsa-miR-106a*
hsa-miR-106b*
hsa-miR-10b*
hsa-miR-122*
hsa-miR-125b-1*
hsa-miR-125b-2*
hsa-miR-130a-5p
hsa-miR-130a-3p
hsa-miR-143-5p
hsa-miR-145*
hsa-miR-146a-3p
hsa-miR-148a-5p
hsa-miR-149-3p
hsa-miR-15a-3p
hsa-miR-15b-3p
hsa-miR-150
hsa-miR-150*
hsa-miR-155*
hsa-miR-16-1-3p
hsa-miR-16-2*
hsa-miR-213
hsa-miR-181a-2-3p
hsa-miR-183
hsa-miR-183*
hsa-miR-186
hsa-miR-186-3p
hsa-miR-188-5p
hsa-miR-188-3p
hsa-miR-193b*
hsa-miR-195*
hsa-miR-196b
hsa-miR-196a-3p
hsa-miR-196b*
hsa-miR-199a-5p
hsa-miR-19a*
hsa-miR-20a*
hsa-miR-20b*
hsa-miR-200c-5p
hsa-miR-204-3p
hsa-miR-21-3p
hsa-miR-212-5p
hsa-miR-212
hsa-miR-214*
hsa-miR-221*
hsa-miR-222-5p
hsa-miR-224
hsa-miR-224*
hsa-miR-24-2*
hsa-miR-25-5p
hsa-miR-29a*
hsa-miR-29b-1-5p
hsa-miR-29b-2*
hsa-miR-30a
hsa-miR-30a-3p
hsa-miR-31-3p
hsa-miR-32*
hsa-miR-330-5p
hsa-miR-34a-3p
MIMAT0000381
MIMAT0004580
hsa-miR-374
hsa-miR-374a*
hsa-miR-376b
hsa-miR-449
hsa-miR-449b-5p
hsa-miR-449b*
hsa-miR-483
hsa-miR-491
hsa-miR-491-3p
hsa-miR-502-5p
hsa-miR-502-3p
hsa-miR-512-3p
hsa-miR-519a-5p
hsa-miR-519a
hsa-miR-602
hsa-miR-630
hsa-miR-7-1-3p
hsa-miR-7-2-3p
hsa-miR-708
hsa-miR-708-3p
hsa-miR-885-3p
hsa-miR-9-3p
hsa-miR-93*
hsa-miR-96-3p
MIMAT0003413
hsa-miR-874
hsa-miR-874-5p
hsa-let-7a-2*
hsa-let-7b-3p
hsa-let-7c-3p
hsa-let-7d-3p
hsa-let-7e*
hsa-let-7f-1*
hsa-let-7i
hsa-let-7i*
hsa-miR-100-3p
hsa-miR-124*
hsa-miR-142-3p
hsa-miR-144-3p
hsa-miR-144-5p
hsa-miR-152-5p
hsa-miR-17-3p
hsa-miR-182-3p
hsa-miR-191
hsa-miR-191-3p
hsa-miR-205-3p
hsa-miR-210-5p
hsa-miR-216a-3p
hsa-miR-216b-5p
hsa-miR-216b-3p
hsa-miR-22-5p
hsa-miR-22
hsa-miR-23b-3p
hsa-miR-23b*
hsa-miR-30c
MIMAT000024
hsa-miR-30b-5p
hsa-miR-30b-3p
hsa-miR-30c-2-3p
hsa-miR-30c-1*
hsa-miR-30d-5p
hsa-miR-30d-3p
hsa-miR-372-5p
hsa-miR-376a-3p
hsa-miR-376a*
hsa-miR-376a-2-5p
hsa-miR-4459
hsa-miR-451b
MIMAT0001578
MIMAT0003343
hsa-miR-10a
hsa-miR-10a*
hsa-miR-1226-5p
hsa-miR-1226
hsa-miR-130b-5p
hsa-miR-149
hsa-miR-192-5p
hsa-miR-192*
hsa-miR-26b*
hsa-miR-26b
hsa-miR-335*
hsa-miR-373-5p
hsa-miR-374b-5p
hsa-miR-374b-3p
hsa-miR-378a-5p
hsa-miR-422b
hsa-miR-421
hsa-miR-423-5p
hsa-miR-423
hsa-miR-484
hsa-miR-503-3p
hsa-miR-503
hsa-miR-615-5p
hsa-miR-615
hsa-miR-877-5p
hsa-miR-877-3p
hsa-miR-95-5p
hsa-miR-95-3p
hsa-miR-1-5p
hsa-miR-103a-3p
hsa-miR-103b
hsa-miR-103-2*
MIMAT0000385
MIMAT0017009
hsa-miR-1207-5p
hsa-miR-1224-5p
hsa-miR-1246
hsa-miR-125a-3p
hsa-miR-126*
hsa-miR-1260b
hsa-miR-127-5p
hsa-miR-1271
hsa-miR-1271-3p
hsa-miR-128-1-5p
hsa-miR-128-2-5p
hsa-miR-1285
hsa-miR-129-1-3p
hsa-miR-129-2-3p
hsa-miR-1290
hsa-miR-1301-5p
hsa-miR-1301
hsa-miR-132*
hsa-miR-133a-5p
hsa-miR-135a*
hsa-miR-134-5p
hsa-miR-136-5p
hsa-miR-136-3p
hsa-miR-138-5p
hsa-miR-138-2-3p
hsa-miR-138-1-3p
hsa-miR-139
hsa-miR-141-5p
hsa-miR-142-5p
MIMAT0007144
hsa-miR-23a
hsa-miR-23a-5p
hsa-miR-148b*
MIMAT000458
hsa-miR-151-5p
hsa-miR-151-3p
hsa-miR-153-5p
MIMAT00045
MIMAT000027
MIMAT00226921
hsa-miR-181c*
hsa-miR-185
hsa-miR-185*
hsa-miR-190a-5p
hsa-miR-190a-3p
hsa-miR-190b
hsa-miR-1915-3p
hsa-miR-1915-5p
hsa-miR-193a-5p
hsa-miR-194
hsa-miR-194*
hsa-miR-197-5p
hsa-miR-19b-1*
hsa-miR-200a*
hsa-miR-200b-5p
hsa-miR-202*
hsa-miR-202-3p
hsa-miR-211-5p
hsa-miR-218-1*
hsa-miR-218-2-3p
hsa-miR-219
hsa-miR-219a-1-3p
hsa-miR-219-2-3p
hsa-miR-223-5p
hsa-miR-26a-1-3p
hsa-miR-26a-2-3p
hsa-miR-27a-5p
hsa-miR-27b-5p
hsa-miR-27b
hsa-miR-2909
hsa-miR-296-3p
hsa-miR-29c-5p
hsa-miR-30e
hsa-miR-30e*
hsa-miR-301a-5p
hsa-miR-301a-3p
hsa-miR-302a-5p
hsa-miR-302a-3p
hsa-miR-302b*
hsa-miR-302b-3p
hsa-miR-302c*
hsa-miR-302c-3p
hsa-miR-302d-5p
hsa-miR-302e
hsa-miR-302f
hsa-miR-3189
hsa-miR-3189-5p
hsa-miR-320b
hsa-miR-320c
hsa-miR-323-5p
hsa-miR-328-5p
hsa-miR-338-5p
hsa-miR-338
hsa-miR-33a
hsa-miR-33a*
hsa-miR-33b
hsa-miR-33b-3p
hsa-miR-34c-3p
hsa-miR-340
hsa-miR-340-3p
hsa-miR-342-5p
hsa-miR-342
hsa-miR-345
hsa-miR-345-3p
hsa-miR-3607-5p
hsa-miR-3607-3p
hsa-miR-361-5p
hsa-miR-361-3p
hsa-miR-362
hsa-miR-362-3p
hsa-miR-363*
hsa-miR-363
hsa-miR-365a-3p
hsa-miR-365*
hsa-miR-365b-5p
hsa-miR-365b-3p
hsa-miR-370-5p
hsa-miR-378b
hsa-miR-378c
hsa-miR-378d
hsa-miR-378e
hsa-miR-378f
hsa-miR-378g
hsa-miR-378h
hsa-miR-378i
hsa-miR-378j
hsa-miR-381-3p
hsa-miR-381-5p
hsa-miR-383-5p
hsa-miR-383-3p
hsa-miR-384
hsa-miR-3928-5p
hsa-miR-3928
hsa-miR-409-3p
hsa-miR-410
hsa-miR-410-5p
hsa-miR-424*
MIMAT0000549
hsa-miR-425-5p
hsa-miR-425-3p
hsa-miR-4448
hsa-miR-449c-5p
hsa-miR-449c-3p
hsa-miR-4500
hsa-miR-4516
hsa-miR-452
hsa-miR-452*
hsa-miR-455
hsa-miR-455-3p
hsa-miR-4802-3p
hsa-miR-486
hsa-miR-486-3p
hsa-miR-489-5p
hsa-miR-489-3p
hsa-miR-494-3p
hsa-miR-494-5p
hsa-miR-495-5p
hsa-miR-495-3p
hsa-miR-497-3p
hsa-miR-497
hsa-miR-499a-5p
hsa-miR-499-3p
hsa-miR-500a
hsa-miR-500
hsa-miR-500b
hsa-miR-500b-3p
hsa-miR-501-5p
hsa-miR-505*
hsa-miR-505-3p
hsa-miR-506-5p
hsa-miR-506
hsa-miR-509-5p
hsa-miR-509-3-5p
hsa-miR-511
hsa-miR-511-3p
hsa-miR-512-5p
hsa-miR-513-5p
hsa-miR-513a-3p
hsa-miR-513b
hsa-miR-513b-3p
hsa-miR-515-5p
hsa-miR-517*
hsa-miR-517a-3p
hsa-miR-518b
hsa-miR-519d
hsa-miR-519d-5p
hsa-miR-520a-5p
hsa-miR-520f-5p
hsa-miR-520f-3p
hsa-miR-526b-3p
hsa-miR-526b-5p
hsa-miR-542-3p
hsa-miR-545*
hsa-miR-545-3p
hsa-miR-548b-5p
hsa-miR-548b-3p
hsa-miR-548c-5p
hsa-miR-551b*
hsa-miR-551b-3p
hsa-miR-574
hsa-miR-582-5p
hsa-miR-592
hsa-miR-596
hsa-miR-618
hsa-miR-638
hsa-miR-645
hsa-miR-650
hsa-miR-652-5p
hsa-miR-652-3p
hsa-miR-663
hsa-miR-663b
hsa-miR-675
hsa-miR-675-3p
hsa-miR-760
hsa-miR-761
hsa-miR-766
hsa-miR-766-5p
hsa-miR-769-3p
hsa-miR-802
hsa-miR-875-5p
hsa-miR-875-3p
hsa-miR-885-5p
hsa-miR-92a-1*
hsa-miR-92a-2*
hsa-miR-92
hsa-miR-92b*
hsa-miR-92b
hsa-miR-939
hsa-miR-939-3p
hsa-miR-940
hsa-miR-942-5p
hsa-miR-942-3p
MIMAT0003713
MIMAT0003719
MIMAT0003412
MIMAT0002182
MIMAT0015214
MIMAT0015212
MIMAT0002179
hsa-miR-18b-5p
hsa-miR-18b-3p
hsa-miR-19b-2*
hsa-miR-637
hsa-miR-660
MIMAT0026907
hsa-miR-147
hsa-miR-520g-3p
hsa-miR-657
hsa-miR-520b
hsa-miR-135b-5p
hsa-miR-99a-5p
hsa-miR-215-5p
hsa-let-7f-5p
hsa-miR-516a-5p
hsa-miR-331
hsa-miR-181d-5p
hsa-miR-105
hsa-miR-625
hsa-miR-605-5p
hsa-miR-323a-3p
hsa-miR-1258
hsa-miR-622
hsa-miR-758-3p
hsa-miR-422a
hsa-miR-1296-5p
hsa-miR-654-3p
hsa-miR-639
hsa-miR-572
hsa-miR-520a
hsa-miR-519e-3p
hsa-miR-519b-3p
hsa-miR-515-3p
hsa-miR-299-5p
hsa-miR-299-3p
hsa-miR-28
hsa-miR-208b-3p
hsa-miR-377
hsa-miR-99b
hsa-miR-488-5p
hsa-miR-584-5p
hsa-miR-450
hsa-miR-198
hsa-miR-590
hsa-miR-518a-5p
hsa-miR-324-3p
hsa-miR-876-3p
hsa-miR-892b
hsa-miR-631
hsa-miR-569
hsa-miR-603
hsa-miR-632
hsa-miR-448
hsa-miR-616-3p
hsa-miR-368
hsa-miR-488-3p
hsa-miR-339
hsa-miR-369-5p
hsa-miR-608
hsa-miR-516a-3p
hsa-miR-593*
hsa-miR-613
hsa-miR-140-3p
hsa-miR-483-5p
hsa-miR-671
hsa-miR-610
hsa-miR-542-5p
hsa-miR-1228-3p
hsa-miR-520e
hsa-miR-629
hsa-miR-1245
hsa-miR-886-3p
hsa-miR-768-5p
hsa-miR-1826
hsa-miR-5787
hsa-miR-595
hsa-miR-762
hsa-miR-642a
hsa-miR-524-5p
hsa-miR-498
hsa-miR-337
hsa-miR-662
hsa-miR-379-5p
hsa-miR-1297
hsa-miR-1280
hsa-miR-490
hsa-miR-320d
hsa-miR-644
hsa-miR-450a-1-3p
hsa-miR-574-5p
hsa-miR-589
hsa-miR-1270
hsa-miR-620
hsa-miR-522-3p
hsa-miR-624-3p
hsa-miR-454
hsa-miR-744-5p
hsa-miR-147b
hsa-miR-154
hsa-miR-1236
hsa-miR-371a-3p
hsa-miR-493
hsa-miR-1256
hsa-miR-4723-5p
hsa-miR-490-5p
hsa-miR-1291
hsa-miR-543
hsa-miR-612
hsa-miR-518c
hsa-miR-371-5p
hsa-miR-591
hsa-miR-570-3p
hsa-miR-551a
hsa-miR-300
hsa-miR-539
hsa-miR-544
hsa-miR-1908
hsa-miR-1266-5p
hsa-miR-550
hsa-miR-1303
hsa-miR-382-5p
hsa-miR-580
hsa-miR-520d
hsa-miR-135b-3p
hsa-miR-508-5p
hsa-miR-329-3p
hsa-miR-1182
hsa-miR-1274a
hsa-miR-187
hsa-miR-4782-3p
hsa-miR-655
hsa-miR-513c
hsa-miR-518a-3p
hsa-miR-656
hsa-miR-4437
hsa-miR-4674
hsa-miR-4722-5p
hsa-miR-525*
hsa-miR-1289
hsa-miR-921
hsa-miR-1202
hsa-miR-581
hsa-miR-485-5p
hsa-miR-548d-5p
hsa-miR-492
hsa-miR-4458
hsa-miR-301b
hsa-miR-718
hsa-miR-1284
hsa-miR-590-3p
hsa-miR-508-3p
hsa-miR-941
hsa-miR-4792
hsa-miR-3163
hsa-miR-720
hsa-miR-1292
hsa-miR-768-3p
hsa-miR-561
hsa-miR-664-3p
hsa-miR-1247
hsa-miR-1293
hsa-miR-767-5p
hsa-miR-573
hsa-miR-558
hsa-miR-487b-3p
hsa-miR-627-5p
hsa-miR-432
hsa-miR-711
hsa-miR-634
hsa-miR-641
hsa-miR-888
hsa-miR-431
hsa-miR-518d
hsa-miR-944
hsa-miR-593-3p
hsa-miR-380*
hsa-miR-601
hsa-miR-665
hsa-miR-517c-3p
hsa-miR-7515
hsa-miR-548m
hsa-miR-297
hsa-miR-552-3p
hsa-miR-541-3p
hsa-miR-323b-5p
hsa-miR-646
hsa-miR-487a
hsa-miR-1234
hsa-miR-636
hsa-miR-648
hsa-miR-767-3p
hsa-miR-1181
hsa-miR-367
hsa-miR-873
hsa-miR-4653-3p
hsa-miR-3941
hsa-miR-466
hsa-miR-1470
hsa-miR-891b
hsa-miR-2861
hsa-miR-548p
hsa-miR-1253
hsa-miR-4269
hsa-miR-4667-3p
hsa-miR-644b-5p
hsa-miR-556-5p
hsa-miR-579
hsa-miR-769-5p
hsa-miR-3064-5p
hsa-miR-1269a
hsa-miR-1225-5p
hsa-miR-550a*
hsa-miR-181b-3p
hsa-miR-548j
hsa-miR-3162-3p
hsa-miR-2355-3p
hsa-miR-5582-5p
hsa-miR-625-3p
hsa-miR-411
hsa-miR-409-5p
hsa-miR-567
hsa-miR-566
hsa-miR-1180
hsa-miR-4728-5p
hsa-miR-770-5p
hsa-miR-670-5p
hsa-miR-99b-3p
hsa-miR-4701-5p
hsa-miR-496
hsa-miR-23c
hsa-miR-548c
hsa-miR-139-3p
hsa-miR-181b-2-3p
hsa-miR-1207-3p
hsa-miR-891a
hsa-miR-935
hsa-miR-3178
hsa-miR-369-3p
hsa-miR-504-3p
hsa-miR-4284
hsa-miR-4649-3p
hsa-miR-203a-5p
hsa-miR-887
hsa-miR-3940-5p
hsa-miR-654
hsa-miR-3619
hsa-miR-1254
hsa-miR-3622b-5p
hsa-miR-3978
hsa-miR-187-5p
hsa-miR-616
hsa-miR-633
hsa-miR-548i
hsa-miR-4273
hsa-miR-4271
hsa-miR-4496
hsa-miR-520d-5p
hsa-miR-647
hsa-miR-98-3p
hsa-miR-1250-3p
hsa-miR-339-3p
hsa-miR-199b-3p
hsa-miR-4775
hsa-miR-548a-3p
hsa-miR-548a-5p
hsa-miR-1269b
hsa-miR-599
hsa-miR-367-5p
hsa-miR-582-3p
hsa-miR-577
hsa-miR-584-3p
hsa-miR-628
hsa-miR-1178-3p
hsa-miR-1228*
hsa-miR-215-3p
hsa-miR-570-5p
hsa-miR-522*
hsa-miR-1298-5p
hsa-miR-744*
hsa-miR-514a-5p
hsa-miR-628-5p
hsa-miR-539-3p
hsa-miR-576-3p
hsa-miR-1273g-3p
hsa-miR-450b-5p
hsa-miR-28-3p
hsa-miR-146b-3p
hsa-miR-337-5p
hsa-miR-433-5p
hsa-miR-4638-5p
hsa-miR-3188
hsa-miR-892a
hsa-miR-587
hsa-miR-623
hsa-miR-4689
hsa-miR-4295
hsa-miR-3196
hsa-miR-211-3p
hsa-miR-3686
hsa-miR-301b-5p
hsa-miR-922
hsa-miR-1264
hsa-miR-4717-5p
hsa-miR-3127
hsa-miR-1249-3p
hsa-miR-552-5p
hsa-miR-499a-3p
hsa-miR-4262
hsa-miR-382-3p
hsa-miR-329-5p
hsa-miR-1283
hsa-miR-588
hsa-miR-3180-5p
hsa-miR-154*
hsa-miR-1229
