Gene	FDR
ENSG00000075426	9.94E-05
ENSG00000012171	0.000364589386428
ENSG00000112715	8.41E-05
ENSG00000117298	0.000239838980579
ENSG00000115461	0.000789072547238
ENSG00000175183	3.13E-05
ENSG00000013588	5.78E-06
ENSG00000100650	0.000276786377836
ENSG00000113578	0.008042674543286
ENSG00000175183	1.44E-05
ENSG00000172638	0.00031308157211
ENSG00000088726	0.005635182933875
ENSG00000122641	0.025626022115858
ENSG00000101187	6.7E-06
ENSG00000131435	4.9E-05
ENSG00000091986	0.000577637165346
ENSG00000078699	5.67E-05
ENSG00000262771	0.000432870108234
ENSG00000106028	0.000432870108234
ENSG00000006432	0.020468117036881
ENSG00000159216	0.00285897987565
ENSG00000124535	3.68E-05
ENSG00000115008	0.006398289349813
ENSG00000141448	3.87E-05
ENSG00000274726	0.001780670323851
ENSG00000104728	0.001780670323851
ENSG00000039139	0.000514087894358
ENSG00000138166	0.000101552087378
ENSG00000136826	1.73E-05
ENSG00000196083	0.000169132467027
ENSG00000184792	0.012646550826677
ENSG00000197461	0.000544425655028
ENSG00000073060	5.02E-05
ENSG00000162341	0.027796644114187
ENSG00000186007	0.00309039152181
ENSG00000080845	5.1E-05
ENSG00000119514	7.46E-05
ENSG00000169914	8.4E-05
ENSG00000004534	0.000288342856952
ENSG00000156113	1.87E-05
ENSG00000185033	1.49E-05
ENSG00000128510	0.00011163163292
ENSG00000204130	4.89E-05
ENSG00000102312	0.000210022259404
ENSG00000121966	6.75E-05
ENSG00000079385	0.023423134404054
ENSG00000147437	0.001427325522826
ENSG00000105971	0.002116433468918
ENSG00000110852	0.000320769081682
ENSG00000196639	0.000375784438528
ENSG00000134013	2.91E-05
ENSG00000113083	0.000884226338819
ENSG00000023445	3.49E-05
ENSG00000131791	6.21E-05
ENSG00000163660	0.001521378227133
ENSG00000176171	6.91E-05
ENSG00000138356	4.52E-05
ENSG00000100196	0.000126165888059
ENSG00000188910	0.000110357385057
ENSG00000020577	0.000271802623921
ENSG00000109625	8.48E-05
ENSG00000283085	2.29E-05
ENSG00000146242	2.29E-05
ENSG00000099860	7.53E-05
ENSG00000140937	0.017857287014647
ENSG00000196267	0.0014415483204
ENSG00000011405	0.011895692163994
ENSG00000131016	4.31E-06
ENSG00000159167	9.11E-05
ENSG00000131791	2.44E-05
ENSG00000128829	0.000252737710227
ENSG00000140199	0.000134743577635
ENSG00000197461	0.001402510173945
ENSG00000130821	1.1E-05
ENSG00000156804	0.031671308973766
ENSG00000130066	9.81E-05
ENSG00000091622	0.004640435755211
ENSG00000120913	0.000637420649074
ENSG00000137449	0.020472455733964
ENSG00000121966	2.63E-05
ENSG00000180667	1.87E-05
ENSG00000148516	9.95E-05
ENSG00000061656	6.61E-05
ENSG00000143320	4.92E-06
ENSG00000187231	0.001492249305333
ENSG00000067992	1.82E-05
ENSG00000138356	6.46E-05
ENSG00000070404	0.000721522644062
ENSG00000276709	0.000742220911063
ENSG00000275498	0.000742220911063
ENSG00000179889	0.000742220911063
ENSG00000152256	0.000140642618614
ENSG00000105971	6.46E-05
ENSG00000138640	0.001854072400172
ENSG00000196968	0.000274357057478
ENSG00000285343	0.000255518867905
ENSG00000173281	0.000255518867905
ENSG00000170873	6.29E-05
ENSG00000130821	0.000162022289761
ENSG00000276709	0.002717241990632
ENSG00000275498	0.002717241990632
ENSG00000179889	0.002717241990632
ENSG00000159167	0.001634260452829
ENSG00000099860	0.000106325422345
ENSG00000136068	7.4E-05
ENSG00000147689	5.89E-05
ENSG00000124370	7E-05
ENSG00000087074	0.001427939622133
ENSG00000165312	6.46E-05
ENSG00000116260	3.78E-05
ENSG00000185650	0.00108078611539
